Iter: 000099 | Node: EQ000013 | Priority: 0.029455 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000101 | Node: EQ000013 | Priority: 0.029455 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000104 | Node: EQ000011 | Priority: 0.005050 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000102 | Node: EQ000013 | Priority: 0.029455 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000103 | Node: EQ000011 | Priority: 0.005050 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000107 | Node: EQ000011 | Priority: 0.005050 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000105 | Node: EQ000011 | Priority: 0.005050 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000109 | Node: EQ000017 | Priority: 0.084222 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000110 | Node: EQ000017 | Priority: 0.084222 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000106 | Node: EQ000011 | Priority: 0.005050 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000108 | Node: EQ000011 | Priority: 0.005050 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000112 | Node: EQ000017 | Priority: 0.084222 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000113 | Node: EQ000017 | Priority: 0.084145 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000114 | Node: EQ000017 | Priority: 0.084145 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000115 | Node: EQ000017 | Priority: 0.084145 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000111 | Node: EQ000017 | Priority: 0.084222 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000116 | Node: EQ000017 | Priority: 0.084145 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000117 | Node: EQ000017 | Priority: 0.084145 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000120 | Node: EQ000011 | Priority: 0.004621 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000121 | Node: EQ000011 | Priority: 0.004621 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000118 | Node: EQ000017 | Priority: 0.084145 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000119 | Node: EQ000011 | Priority: 0.004621 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000123 | Node: EQ000003 | Priority: 0.004621 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000122 | Node: EQ000011 | Priority: 0.004621 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000124 | Node: EQ000003 | Priority: 0.004621 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000125 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000126 | Node: EQ000015 | Priority: 0.002236 | AFIR: ['250', '1', '7'] | Status: DONE
