Iter: 000119 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000123 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000124 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000120 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000125 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000126 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000127 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000129 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000128 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000131 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000130 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000122 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000134 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000132 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000133 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000135 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000138 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000136 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000137 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000141 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000140 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000142 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000143 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000145 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000139 | Node: EQ000002 | Priority: 0.000545 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000147 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000144 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000149 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000146 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000151 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000148 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000150 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000154 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000152 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000156 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000155 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000157 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000153 | Node: EQ000029 | Priority: 0.001168 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000159 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000161 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000162 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000160 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000158 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000164 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000165 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000167 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000163 | Node: EQ000011 | Priority: 0.000545 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000166 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000170 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000169 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000168 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000173 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000174 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000171 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000172 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000177 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000178 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000175 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000176 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000181 | Node: EQ000011 | Priority: 0.000544 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000182 | Node: EQ000011 | Priority: 0.000544 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000183 | Node: EQ000011 | Priority: 0.000544 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000180 | Node: EQ000011 | Priority: 0.000544 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000179 | Node: EQ000032 | Priority: 0.001166 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000184 | Node: EQ000011 | Priority: 0.000544 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000185 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000188 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000186 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000190 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000187 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000191 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000193 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000194 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000189 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000192 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000195 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000198 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000199 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000197 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000200 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000201 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000203 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000204 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000205 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000196 | Node: EQ000013 | Priority: 0.000135 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000202 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000206 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000208 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000209 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000207 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000212 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000210 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000214 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000215 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000211 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000216 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000213 | Node: EQ000024 | Priority: 0.000135 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000218 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000219 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000217 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000222 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000221 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000223 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000224 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000226 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000220 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000225 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000228 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000227 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000229 | Node: EQ000019 | Priority: 0.000127 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000230 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000232 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000234 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000233 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000231 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000235 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000237 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000239 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000238 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000236 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000242 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000240 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000241 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000243 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000245 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000244 | Node: EQ000016 | Priority: 0.000127 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000247 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000248 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000246 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000249 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000250 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000251 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000252 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000253 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000256 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000255 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000257 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000259 | Node: EQ000030 | Priority: 0.000111 | AFIR: ['250', '4', '6'] | Status: DONE
