Iter: 000033 | Node: EQ000016 | Priority: 0.972540 | AFIR: ['300', '1', '12']
Iter: 000034 | Node: EQ000016 | Priority: 0.972540 | AFIR: ['300', '4', '12']
Iter: 000035 | Node: EQ000016 | Priority: 0.972540 | AFIR: ['300', '7', '10']
Iter: 000036 | Node: EQ000015 | Priority: 0.966772 | AFIR: ['300', '1', '12']
Iter: 000037 | Node: EQ000014 | Priority: 0.863692 | AFIR: ['300', '1', '5']
Iter: 000038 | Node: EQ000014 | Priority: 0.863692 | AFIR: ['300', '4', '12']
Iter: 000039 | Node: EQ000014 | Priority: 0.863692 | AFIR: ['300', '4', '10']
Iter: 000040 | Node: EQ000014 | Priority: 0.863692 | AFIR: ['300', '4', '7']
Iter: 000041 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '7', '10']
Iter: 000042 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '4', '10']
Iter: 000043 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '5', '12']
Iter: 000044 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '4', '12']
Iter: 000045 | Node: EQ000017 | Priority: 0.760206 | AFIR: ['300', '1', '12']
Iter: 000046 | Node: EQ000009 | Priority: 0.760206 | AFIR: ['300', '1', '5']
Iter: 000047 | Node: EQ000021 | Priority: 0.966772 | AFIR: ['300', '7', '10']
Iter: 000048 | Node: EQ000021 | Priority: 0.966772 | AFIR: ['300', '5', '12']
Iter: 000049 | Node: EQ000021 | Priority: 0.966772 | AFIR: ['300', '1', '12']
Iter: 000050 | Node: EQ000021 | Priority: 0.966772 | AFIR: ['300', '4', '12']
Iter: 000051 | Node: EQ000021 | Priority: 0.966772 | AFIR: ['300', '1', '5']
Iter: 000052 | Node: EQ000009 | Priority: 0.760206 | AFIR: ['300', '4', '7']
Iter: 000053 | Node: EQ000009 | Priority: 0.760206 | AFIR: ['300', '1', '4']
Iter: 000054 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '1', '7']
Iter: 000055 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '5', '10']
Iter: 000056 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '1', '4']
Iter: 000057 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '4', '10']
Iter: 000058 | Node: EQ000022 | Priority: 0.863692 | AFIR: ['300', '7', '10']
Iter: 000059 | Node: EQ000009 | Priority: 0.760206 | AFIR: ['300', '5', '10']
Iter: 000060 | Node: EQ000009 | Priority: 0.760206 | AFIR: ['300', '4', '12']
Iter: 000061 | Node: EQ000019 | Priority: 0.591917 | AFIR: ['300', '4', '7']
Iter: 000062 | Node: EQ000019 | Priority: 0.591917 | AFIR: ['300', '5', '12']
Iter: 000063 | Node: EQ000019 | Priority: 0.591917 | AFIR: ['300', '1', '12']
Iter: 000064 | Node: EQ000019 | Priority: 0.591917 | AFIR: ['300', '5', '10']
Iter: 000065 | Node: EQ000019 | Priority: 0.591917 | AFIR: ['300', '1', '5']
Iter: 000066 | Node: EQ000019 | Priority: 0.047149 | AFIR: ['300', '4', '12']
Iter: 000067 | Node: EQ000021 | Priority: 0.077007 | AFIR: ['300', '4', '7']
Iter: 000068 | Node: EQ000018 | Priority: 0.047149 | AFIR: ['300', '1', '7']
Iter: 000069 | Node: EQ000017 | Priority: 0.060553 | AFIR: ['300', '4', '7']
Iter: 000070 | Node: EQ000011 | Priority: 0.069594 | AFIR: ['300', '1', '4']
Iter: 000071 | Node: EQ000002 | Priority: 0.079654 | AFIR: ['300', '4', '10']
Iter: 000072 | Node: EQ000020 | Priority: 0.065990 | AFIR: ['300', '1', '7']
Iter: 000073 | Node: EQ000013 | Priority: 0.067614 | AFIR: ['300', '1', '4']
Iter: 000074 | Node: EQ000023 | Priority: 0.989542 | AFIR: ['300', '7', '10']
Iter: 000075 | Node: EQ000023 | Priority: 0.989542 | AFIR: ['300', '4', '7']
Iter: 000076 | Node: EQ000023 | Priority: 0.989542 | AFIR: ['300', '1', '7']
Iter: 000077 | Node: EQ000023 | Priority: 0.989542 | AFIR: ['300', '4', '12']
Iter: 000078 | Node: EQ000023 | Priority: 0.989542 | AFIR: ['300', '4', '10']
Iter: 000079 | Node: EQ000021 | Priority: 0.067565 | AFIR: ['300', '5', '10']
Iter: 000080 | Node: EQ000020 | Priority: 0.057899 | AFIR: ['300', '1', '12']
Iter: 000081 | Node: EQ000013 | Priority: 0.059324 | AFIR: ['300', '7', '10']
Iter: 000082 | Node: EQ000014 | Priority: 0.060361 | AFIR: ['300', '1', '4']
Iter: 000083 | Node: EQ000010 | Priority: 0.041042 | AFIR: ['300', '4', '12']
Iter: 000084 | Node: EQ000025 | Priority: 0.828458 | AFIR: ['300', '7', '10']
Iter: 000085 | Node: EQ000025 | Priority: 0.828458 | AFIR: ['300', '4', '7']
Iter: 000086 | Node: EQ000025 | Priority: 0.828458 | AFIR: ['300', '4', '12']
Iter: 000087 | Node: EQ000025 | Priority: 0.828458 | AFIR: ['300', '1', '7']
Iter: 000088 | Node: EQ000025 | Priority: 0.828458 | AFIR: ['300', '5', '10']
Iter: 000089 | Node: EQ000020 | Priority: 0.054730 | AFIR: ['300', '7', '10']
Iter: 000090 | Node: EQ000020 | Priority: 0.054730 | AFIR: ['300', '1', '4']
Iter: 000091 | Node: EQ000023 | Priority: 0.065372 | AFIR: ['300', '1', '12']
Iter: 000092 | Node: EQ000022 | Priority: 0.057058 | AFIR: ['300', '5', '12']
Iter: 000093 | Node: EQ000013 | Priority: 0.056077 | AFIR: ['300', '1', '12']
Iter: 000094 | Node: EQ000020 | Priority: 0.054730 | AFIR: ['300', '4', '12']
